pass,stratum,record_a,record_b,name_a,address_a,name_b,address_b,evidence,same_entity,note
A,Firm,fmcsa:4402429,fmcsa:753155,WALKER SIMS OIL CO INC,"6217 98TH ST, LUBBOCK, TX 79424-5424",WALKER SIMS OIL CO INC,"6217 98TH STREET, LUBBOCK, TX 79424","names ""WALKER SIMS OIL CO INC"" / ""WALKER SIMS OIL CO INC"" similarity 1.00; same address 6217 98TH ST 79424-5424; same phone 8067451668; shared officer MCKINNON SARAH",yes,
A,Firm,fmcsa:1597708,fmcsa:2907715,OREG SITE WORK SERVICES LLC,"18225D FLOWER HILL WAY, GAITHERSBURG, MD 20879",NEXT DAY DUMPSTERS DMV LLC,"18225-D FLOWER HILL WAY, GAITHERSBURG, MD 20879","names ""NEXT DAY DUMPSTERS"" / ""NEXT DAY DUMPSTERS"" similarity 1.00; same ZIP 20879 (18225D FLOWER HILL WAY / 18225-D FLOWER HILL WAY); same phone 3019604419",yes,"two LLCs trading as one business: shared trade name, address and phone"
A,Firm,fmcsa:2386485,fmcsa:3372754,CITY OF ASPEN,"427 RIO GRANDE PLACE, ASPEN, CO 81611",CITY OF ASPEN,"130 S GALENA ST, ASPEN, CO 81611","names ""CITY OF ASPEN"" / ""CITY OF ASPEN"" similarity 1.00; same ZIP 81611 (427 RIO GRANDE PLACE / 130 S GALENA ST)",yes,"one city government, two departments"
A,Firm,fmcsa:3375724,fmcsa:812907,R & S LOGGING INC,"771 LAKE RD, HERTFORD, NC 27944-8752",R & S LOGGING INC,"771 LAKE RD, HERTFORD, NC 27944","names ""R & S LOGGING INC"" / ""R & S LOGGING INC"" similarity 1.00; same address 771 LAKE RD 27944-8752; shared officer BYRUM JANICE RHODES, EARL JAMES RHODES",yes,
A,Firm,fmcsa:270123,fmcsa:275704,WEIL WRECKER SERVICE INC,"3400 2ND AVE S, BIRMINGHAM, AL 35222-1706",WEIL WRECKER SERVICE INC,"3400 2ND AVE S, BIRMINGHAM, AL 35222-1706","names ""WEIL WRECKER SERVICE INC"" / ""WEIL WRECKER SERVICE INC"" similarity 1.00; same address 3400 2ND AVE S 35222-1706; same phone 2052514060",yes,
A,Firm,fmcsa:1559625,fmcsa:3601027,MARSHALL II ENTERPRISES INC,"1500 E NORTH ST, CROWN POINT, IN 46307",MARSHALL II ENTERPRISES INC,"1500 E NORTH ST, CROWN POINT, IN 46307-8638","names ""MARSHALL II ENTERPRISES INC"" / ""MARSHALL II ENTERPRISES INC"" similarity 1.00; same address 1500 E NORTH ST 46307; same phone 2196621007; shared officer JOHN MARSHALL",yes,
A,Firm,fmcsa:554206,fmcsa:719616,WILLIAM K HANNA TRUCKING INC,"2520 INDUSTRIAL DR, BLOOMINGTON, IN 47404",WILLIAM K HANNA TRUCKING INC,"4672 W VERNAL PK, BLOOMINGTON, IN 47404","names ""WILLIAM K HANNA TRUCKING INC"" / ""WILLIAM K HANNA TRUCKING INC"" similarity 1.00; same ZIP 47404 (2520 INDUSTRIAL DR / 4672 W VERNAL PK); same phone 8123393421",yes,"same name and phone, second yard"
A,Firm,fmcsa:2381357,fmcsa:2382213,SDB INC,"810 W 1ST STREET, TEMPE, AZ 85281",SDB INC,"810 W 1ST STREET, TEMPE, AZ 85281","names ""SDB INC"" / ""SDB INC"" similarity 1.00; same address 810 W 1ST STREET 85281; same phone 4809675810; shared officer EDWARD RICCIO",yes,
A,Firm,fmcsa:1954638,fmcsa:775598,BEREXCO LLC,"2020 N BRAMBLEWOOD, WICHITA, KS 67206",BEREXCO INC,"2020 N BRAMBLEWOOD, WICHITA, KS 67206","names ""BEREXCO LLC"" / ""BEREXCO INC"" similarity 1.00; same address 2020 N BRAMBLEWOOD 67206; same phone 3162653311; shared officer DONNA STUCKY",yes,"LLC and Inc at one address, phone and officer; a conversion"
A,Firm,fmcsa:3455517,fmcsa:379181,CL BENTON & SONS INC,"706 38TH AVE N, MYRTLE BEACH, SC 29577",CL BENTON & SONS LLC,"706 38TH AVE NORTH, MYRTLE BEACH, SC 29577","names ""CL BENTON & SONS INC"" / ""CL BENTON & SONS LLC"" similarity 1.00; same address 706 38TH AVE N 29577; same phone 8434483116",yes,
